Address,Price,Date,Url,Lat,Lon,LSOACode,LowerLayerSuperOutputArea,ConstituencyCode
"Stoney Lane, Yardley, Birmingham",200000,2019-09-28,https://www.rightmove.co.uk/property-for-sale/property-85184981.html,52.471603143068,-1.80872664393551,E01008897,Birmingham 067B,E14000568
"Vincent Street, Balsall Heath, Birmingham, West Midlands, B12",200000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-73201645.html,52.4584003188886,-1.88884376182896,E01009374,Birmingham 084B,E14000562
"Walkers Heath Road, Birmingham, West Midlands",200000,2019-10-31,https://www.rightmove.co.uk/property-for-sale/property-86136329.html,52.407269953527,-1.91675479041986,E01009120,Birmingham 123D,E14000565
"Woolmore Road, Birmingham",195000,2019-10-31,https://www.rightmove.co.uk/property-for-sale/property-86075294.html,52.5266118053493,-1.86729950206194,E01009126,Birmingham 026A,E14000561
"Westray Close , Rubery",135000,2019-09-09,https://www.rightmove.co.uk/property-for-sale/property-63440508.html,52.4021725215609,-2.02347314306606,E01009161,Birmingham 125F,E14000565
"Stanford Avenue, Great Barr, B42",180000,2019-10-27,https://www.rightmove.co.uk/property-for-sale/property-65993214.html,52.537002262948,-1.92742036710388,E01009235,Birmingham 016A,E14000566
"Tame Bank, Kingsbury, Tamworth, Warwickshire, B78",190000,2019-10-27,https://www.rightmove.co.uk/property-for-sale/property-85472708.html,52.567718289215,-1.68792081081736,E01031033,North Warwickshire 004C,E14000854
"Yew Tree Road, Dudley",190000,2019-09-11,https://www.rightmove.co.uk/property-for-sale/property-62128044.html,52.4873703795478,-2.08389789190372,E01009872,Dudley 020A,E14000672
"Whitestone Road, Halesowen",200000,2019-10-03,https://www.rightmove.co.uk/property-for-sale/property-85364315.html,52.4590678371261,-2.05735310027868,E01009735,Dudley 034B,E14000722
"Rubery Lane, Rubery, Birmingham, B45",185000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-64550586.html,52.4019046193728,-2.01127358420018,E01009159,Birmingham 130A,E14000565
"Stourbridge Road, Dudley, DY1",175000,2019-10-31,https://www.rightmove.co.uk/property-for-sale/property-65147295.html,52.5011959225997,-2.10734687760062,E01009839,Dudley 013B,E14000672
"Tat Bank Road, Oldbury, West Midlands, B69",185000,2019-09-15,https://www.rightmove.co.uk/property-for-sale/property-82250549.html,52.4953112766934,-2.0031969476612,E01010019,Sandwell 024B,E14001016
"Wigford Road, Dosthill, Tamworth",195000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-70999669.html,52.5976542697393,-1.68785594761376,E01029861,Tamworth 009B,E14000986
"Wash Lane, Yardley, Birmingham",189950,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-59380368.html,52.4726976888259,-1.81873264995757,E01008896,Birmingham 066B,E14000568
"STOURBRIDGE, Lye, Vicarage Road",119950,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-84406952.html,52.457770828788,-2.11121449049237,E01009833,Dudley 032A,E14000976
"Witton Road, Witton, West Midlands, B6",139950,2019-10-29,https://www.rightmove.co.uk/property-for-sale/property-65867463.html,52.5069496473938,-1.89269956055815,E01033636,Birmingham 037F,E14000564
"Sandwell Street, Walsall",195000,2019-09-21,https://www.rightmove.co.uk/property-for-sale/property-74262670.html,52.574959563081,-1.97797064295592,E01010372,Walsall 030D,E14001012
"Stratford Gardens, Bromsgrove",165000,2019-10-15,https://www.rightmove.co.uk/property-for-sale/property-65771754.html,52.3359946300653,-2.05513835780331,E01032157,Bromsgrove 011B,E14000605
"Tame Street, West Bromwich",150000,2019-10-29,https://www.rightmove.co.uk/property-for-sale/property-66031161.html,52.5425968805807,-2.01750335036917,E01010100,Sandwell 013F,E14001030
"Semi Detached at Oakland''s, Slater Street, Darlaston, WS10 8AP",155995,2019-10-11,https://www.rightmove.co.uk/property-for-sale/property-82393715.html,52.5715417849745,-2.02946638857465,E01010264,Walsall 033C,E14001012
"Woburn Drive, Halesowen, B62",199950,2019-10-21,https://www.rightmove.co.uk/property-for-sale/property-64347450.html,52.4648240079451,-2.05176738045322,E01009959,Sandwell 035E,E14000722
"Stanmore Grove, Halesowen, West Midlands, B62",179950,2019-10-09,https://www.rightmove.co.uk/property-for-sale/property-72951955.html,52.4472141826488,-2.01363952534111,E01008921,Birmingham 094C,E14000560
"The Pines, Highgate, Walsall",160000,2019-10-13,https://www.rightmove.co.uk/property-for-sale/property-74678227.html,52.5784652470024,-1.97619805873884,E01010372,Walsall 030D,E14001012
"Sandwell Street, Walsall, ., WS1",180000,2019-09-21,https://www.rightmove.co.uk/property-for-sale/property-74281954.html,52.5763979053233,-1.97782236695562,E01010372,Walsall 030D,E14001012
"Wenlock Road, Birmingham, West Midlands, ., B20",180000,2019-10-23,https://www.rightmove.co.uk/property-for-sale/property-63888786.html,52.511352945898,-1.89077336702127,E01009058,Birmingham 033D,E14000564
"Semi Detached at Oakland''s, Slater Street, Darlaston, WS10 8AP",155995,2019-11-02,https://www.rightmove.co.uk/property-for-sale/property-82393715.html,52.5715417849745,-2.02946638857465,E01010264,Walsall 033C,E14001012
"Shady Lane, Great Barr",165000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-73016605.html,52.5526190964261,-1.89362086149284,E01009224,Birmingham 008C,E14000566
"Woolmore Road, Erdington",175000,2019-10-05,https://www.rightmove.co.uk/property-for-sale/property-84801575.html,52.5284998411775,-1.86744122628953,E01009123,Birmingham 022A,E14000561
"Stourbridge Road, Catshill, Bromsgrove, B61",160000,2019-11-06,https://www.rightmove.co.uk/property-for-sale/property-75329653.html,52.3625104933839,-2.06515732847844,E01032127,Bromsgrove 007A,E14000605
"Tame Street, West Bromwich, Sandwell, B70 0QP",184950,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-68413561.html,52.5425968805807,-2.01750335036917,E01010100,Sandwell 013F,E14001030
"Shenstone Road, Great Barr, Birmingham",185000,2019-09-18,https://www.rightmove.co.uk/property-for-sale/property-65101716.html,52.541861476731,-1.93552201835176,E01010011,Sandwell 011C,E14001029
"Wood End Road, Birmingham, B24",180000,2019-09-21,https://www.rightmove.co.uk/property-for-sale/property-65194125.html,52.5176787479399,-1.84050555923503,E01009013,Birmingham 031D,E14000561
