Address,Price,Date,Url,Lat,Lon,LSOACode,LowerLayerSuperOutputArea,ConstituencyCode
"Waldley Grove, Erdington",190000,2020-01-19,https://www.rightmove.co.uk/property-for-sale/property-67646571.html,52.5198028876681,-1.81736012921371,E01009011,Birmingham 028B,E05011162
"Walkers Heath Road, Birmingham, B38",160000,2019-10-31,https://www.rightmove.co.uk/property-for-sale/property-62344902.html,52.407269953527,-1.91675479041986,E01009120,Birmingham 123D,E05011149
"Walkers Heath Road, Birmingham, B38",170000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-62344902.html,52.407269953527,-1.91675479041986,E01009120,Birmingham 123D,E05011149
"Walkers Heath Road, Birmingham, West Midlands",200000,2019-10-31,https://www.rightmove.co.uk/property-for-sale/property-86136329.html,52.407269953527,-1.91675479041986,E01009120,Birmingham 123D,E05011149
"Wandsworth Road, Birmingham, West Midlands, United Kingdom, B44",160000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-84226955.html,52.5577397921594,-1.88977347637243,E01009233,Birmingham 008D,E05011159
"Ward Street, Erdington, Birmingham, West Midlands, B23",200000,2019-11-28,https://www.rightmove.co.uk/property-for-sale/property-74613592.html,52.5214716137746,-1.85375602440786,E01033630,Birmingham 031H,E05011173
"Warren Hill Road, Birmingham, West Midlands, B44",154950,2019-12-12,https://www.rightmove.co.uk/property-for-sale/property-73351783.html,52.5354383439824,-1.88290015327868,E01009231,Birmingham 017D,E05011150
"Warren Hill Road, Birmingham, West Midlands, B44",165000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-73351783.html,52.5354383439824,-1.88290015327868,E01009231,Birmingham 017D,E05011150
"Warren Hill Road, Kingstanding, B44",170000,2019-10-19,https://www.rightmove.co.uk/property-for-sale/property-65830416.html,52.5354383439824,-1.88290015327868,E01009231,Birmingham 017D,E05011150
"Warren Hill Road, Kingstanding, Birmingham",175000,2019-11-26,https://www.rightmove.co.uk/property-for-sale/property-75790750.html,52.53858537362,-1.88348154741573,E01009230,Birmingham 017C,E05011150
"Warren Hill Road, Kingstanding, Birmingham, B44",154950,2019-12-20,https://www.rightmove.co.uk/property-for-sale/property-87466862.html,52.5354383439824,-1.88290015327868,E01009231,Birmingham 017D,E05011150
